Species;Family;Author;Synonyms;LocalName;Comments;FileNamePhoto;FileNameID;Location;LocationColour;FigOneWidth;FigTwoWidth
Erysimum bicolor;Brassicaceae;(Hornem.) DC.;;;;Erysimum_bicolor_flower.jpg;Erysimum_bicolor_whole.jpg;\textcolor{green}{SS};;;
Erysimum scoparium;Brassicaceae;(Brouss. ex Willd.) Wettst.;;;;Erysimum_scoparium_photo.jpg;Erysimum_scoparium_ID.jpg;\textcolor{red}{NN}, \textcolor{green}{SS};;;
Hirschfeldia incana;Brassicaceae;(L.) Lagr.-Foss.;;;;Hirschfeldia_incana_flower.jpg;Hirschfeldia_incana_whole.jpg;;;;
Lepidium didymum;Brassicaceae;L.;;;;Lepidium_didymum_flower.jpg;Lepidium_didymum_close.jpg;;;;
Lobularia canariensis ssp intermedia;Brassicaceae;(Webb) L.Borgen;;;;Lobularia_canariensis_intermedia.jpg;Lobularia_canariensis_intermedia_ID.jpg;\textcolor{green}{SS};;;
Lobularia canariensis ssp palmensis;Brassicaceae;(Webb ex Christ) L.Borgen;;;;Lobularia_canariensis_palmensis_photo.jpg;Lobularia_canariensis_palmensis_ID.jpg;\textcolor{green}{SS};;;
Raphanus raphanistrum;Brassicaceae;L.;;;;Raphanus_raphanistrum_close.jpg;Raphanus_raphanistrum_sketch.jpg;;;;
Opuntia dillenii;Cactaceae;(Ker Gawl.) Haw.;Opuntia tuna (L.) Mill.;;;Opuntia_dillenii_flower.jpg;Opuntia_dillenii_whole.jpg;;;;
Opuntia ficus-indica;Cactaceae;(L.) Mill.;;;;Opuntia_ficusindica_photo.jpg;Opuntia_ficusindica_ID.jpg;;;;
Opuntia maxima;Cactaceae;Mill.;;;;Opuntia_maxima_flower.jpg;Opuntia_maxima_close.jpg;;;;
Opuntia tomentosa;Cactaceae;Salm-Dyck;;;;Opuntia_tomentosa_flower.jpg;Opuntia_tomentosa_whole.jpg;;;;
Opuntia tuna;Cactaceae;(L.) Mill.;;;;Opuntia_tuna_close.jpg;Opuntia_tuna_photo;;;;
Campanula erinus;Campanulaceae;L.;;;;Campanula_erinus_flower.jpg;Campanula_erinus_whole.jpg;;;;
Canarina canariensis;Campanulaceae;(L.) Vatke;;;;Canarina_canariensis_flower.jpg;Canarina_canariensis_close.jpg;;;;
Wahlenbergia lobelioides;Campanulaceae;(L.f.) Link;;;;Wahlenbergia_lobelioides_close.jpg;Wahlenbergia_lobelioides_whole.jpg;\textcolor{green}{SS};;;
Pterocephalus porphyranthus;Caprifoliaceae;Svent.;;;;Pterocephalus_porphyranthus_leaf.jpg;Pterocephalus_porphyranthus_flower.jpg;\textcolor{green}{SS};;;
Carica papaya;Caricaceae;L.;;;;Carica_papaya_flower.jpg;Carica_papaya_close.jpg;;;;
Arenaria serpyllifolia;Caryophyllaceae;L.;;;;Arenaria_serpyllifolia_flower.jpg;Arenaria_serpyllifolia_sketch.jpg;;;;
Cerastium arvense;Caryophyllaceae;L.;;;;Cerastium_arvense_flower.jpg;Cerastium_arvense_sketch.jpg;;;;
Paronychia canariensis;Caryophyllaceae;(L.f.) Link;;;;Paronychia_canariensis_photo.jpg;Paronychia_canariensis_ID.jpg;;;;
Petrorhagia nanteuilii;Caryophyllaceae;(Burnat) P.W.Ball \& Heywood;;;;Petrorhagia_nanteuilii_photo.jpg;Petrorhagia_nanteuilii_ID.jpg;;;;
Petrorhagia prolifera;Caryophyllaceae;(L.) P.W.Ball \& Heywood;;;;Petrorhagia_prolifera_photo.jpg;Petrorhagia_prolifera_photo_ID.jpg;;;;
Polycarpaea divaricata;Caryophyllaceae;Briq.;;;;Polycarpaea_divaricata_flower.jpg;Polycarpaea_divaricata_whole.jpg;;;;
Polycarpaea divaricata;Caryophyllaceae;Balf.f.;Polycarpaea balfourii Briq.;;;Polycarpea_divaricata_photo.jpg;Polycarpea_divaricata_ID.jpg;;;;
Polycarpaea nivea;Caryophyllaceae;(Aiton) Webb;;;;Polycarpaea_nivea_flower.jpg;Polycarpaea_nivea_whole.jpg;;;;
Polycarpaea smithii;Caryophyllaceae;Link;;;;Polycarpaea_smithii_flower.jpg;Polycarpaea_smithii_whole.jpg;\textcolor{red}{NN};;;
Polycarpaea tenuis;Caryophyllaceae;Webb ex Christ;;;;Polycarpaea_tenuis_photo.jpg;Polycarpaea_tenuis_ID.jpg;\textcolor{green}{SS};;;
Polycarpon tetraphyllum;Caryophyllaceae;(L.) L.;;;;Polycarpon_tetraphyllum_close.jpg;Polycarpon_tetraphyllum_whole.jpg;;;;
Silene gallica;Caryophyllaceae;L.;;;;Silene_gallica_whole.jpg;Silene_gallica_sketch.jpg;;;;
Silene pogonocalyx;Caryophyllaceae;(Svent.) Bramwell;;;;Silene_pogonocalyx_photo.jpg;Silene_pogonocalyx_ID.jpg;\textcolor{green}{SS};;;
Silene vulgaris;Caryophyllaceae;(Moench) Garcke;;;;Silene_vulgaris_whole.jpg;Silene_vulgaris_sketch.jpg;;;;
Spergula arvensis;Caryophyllaceae;L.;;;;Spergula_arvensis_whole.jpg;Spergula_arvensis_sketch.jpg;;;;
Spergularia marina;Caryophyllaceae;(L.) Besser;;;;Spergularia_marina_photo.jpg;Spergularia_marina_ID.jpg;;;;
Stellaria media;Caryophyllaceae;(L.) Vill.;;;;Stellaria_media_whole.jpg;Stellaria_media_sketch.jpg;;;;
Cistus monspeliensis;Cistaceae;L.;;;;Cistus_monspeliensis_flower.jpg;Cistus_monspeliensis_whole.jpg;\textcolor{red}{NN};;;
Cistus symphytifolius;Cistaceae;Lam.;;;;Cistus_symphytifolius_flower.jpg;Cistus_symphytifolius_whole.jpg;\textcolor{green}{SS};;;
Tuberaria guttata;Cistaceae;(L.) Fourr.;;;;Tuberaria_guttata_flower.jpg;Tuberaria_guttata_sketch.jpg;;;;
Tradescantia fluminensis;Commelinaceae;Vell.;;;;Tradescantia_fluminensis_flower.jpg;Tradescantia_fluminensis_close.jpg;;;;
